mu	2.7005	2.0012
sigma	0.1491	0.1355
A	4.3855	2.4474

	Function 1			Function 2
X	PRE	EXP	F(x)	PRE	EXP	F(x)
790	11.7341473554694	-0.873991773593271	4.90E+00	7.20569252438721	-21.8837306136747	2.26E-09
800	11.7341473554694	-0.923104080089659	4.66E+00	7.20569252438721	-22.1512656046712	1.73E-09
810	11.7341473554694	-0.972923795353211	4.44E+00	7.20569252438721	-22.4170723569023	1.32E-09
820	11.7341473554694	-1.02341749173292	4.22E+00	7.20569252438721	-22.6811738283152	1.02E-09
830	11.7341473554694	-1.07455334436225	4.01E+00	7.20569252438721	-22.9435926107744	7.82E-10
840	11.7341473554694	-1.1263010405461	3.80E+00	7.20569252438721	-23.2043509308564	6.03E-10
850	11.7341473554694	-1.17863169516059	3.61E+00	7.20569252438721	-23.4634706513854	4.65E-10
860	11.7341473554694	-1.2315177716059	3.42E+00	7.20569252438721	-23.7209732736113	3.60E-10
870	11.7341473554694	-1.28493300789227	3.25E+00	7.20569252438721	-23.9768799399453	2.78E-10
880	11.7341473554694	-1.33885234747489	3.08E+00	7.20569252438721	-24.2312114371744	2.16E-10
890	11.7341473554694	-1.39325187448646	2.91E+00	7.20569252438721	-24.4839882000866	1.68E-10
900	11.7341473554694	-1.44810875304512	2.76E+00	7.20569252438721	-24.7352303154479	1.30E-10
910	11.7341473554694	-1.50340117034264	2.61E+00	7.20569252438721	-24.9849575262758	1.02E-10
920	11.7341473554694	-1.55910828324166	2.47E+00	7.20569252438721	-25.2331892363622	7.93E-11
930	11.7341473554694	-1.6152101681329	2.33E+00	7.20569252438721	-25.4799445150037	6.19E-11
940	11.7341473554694	-1.67168777382333	2.21E+00	7.20569252438721	-25.7252421019027	4.85E-11
950	11.7341473554694	-1.72852287724439	2.08E+00	7.20569252438721	-25.9691004122038	3.80E-11
960	11.7341473554694	-1.78569804178613	1.97E+00	7.20569252438721	-26.2115375416397	2.98E-11
970	11.7341473554694	-1.84319657807798	1.86E+00	7.20569252438721	-26.4525712717576	2.34E-11
980	11.7341473554694	-1.90100250705121	1.75E+00	7.20569252438721	-26.6922190752055	1.84E-11
990	11.7341473554694	-1.95910052513007	1.65E+00	7.20569252438721	-26.9304981210568	1.45E-11
1000	11.7341473554694	-2.01747597141085	1.56E+00	7.20569252438721	-27.1674252801569	1.15E-11
